COD_S11,GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,STRATUM,SISBEN,PEOPLE_HOUSE,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,REVENUE,JOB,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,QR_PRO,SEL,SEL_IHE,UNIV_PROG
SB11201220409756,M,Complete Secundary,Complete Secundary,Entrepreneur ,Operator,Stratum 3,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PRIVATE,TECHNICAL,65,87,1,2,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA_MECHANICAL ENGINEERING
SB11201220409780,M,Complete technique or technology,Complete Secundary,Technical or professional level employee,Independent,Stratum 2,It is not classified by the SISBEN,Four,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PRIVATE,TECHNICAL,52,66,2,2,UNIVERSIDAD AUTONOMA DE MANIZALES-MANIZALES_MECHANICAL ENGINEERING
SB11201220409818,M,Complete professional education,Complete professional education,Technical or professional level employee,Technical or professional level employee,Stratum 6,It is not classified by the SISBEN,Three,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,TECHNICAL,55,82,4,2,UNIVERSIDAD AUTONOMA DE MANIZALES-MANIZALES_INDUSTRIAL ENGINEERING
SB11201220410023,M,Incomplete Secundary,Complete technique or technology,Independent professional,Auxiliary or Administrative,Stratum 2,Level 2,Eight,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PUBLIC,ACADEMIC,69,87,2,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_ELECTRONIC ENGINEERING
SB11201220410076,M,Complete professional education,Complete technique or technology,Technical or professional level employee,Home,Stratum 4,It is not classified by the SISBEN,Six,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,PRIVATE,ACADEMIC,78,97,4,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_CIVIL ENGINEERING
SB11201220410102,F,Complete technique or technology,Complete professional education,Independent,Technical or professional level employee,Stratum 3,It is not classified by the SISBEN,Two,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,46,75,2,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_INDUSTRIAL ENGINEERING
SB11201220410107,M,Complete primary ,0,Independent professional,0,Stratum 4,It is not classified by the SISBEN,Six,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PRIVATE,ACADEMIC,58,96,4,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_CIVIL ENGINEERING
SB11201220410115,F,Complete professional education,Complete Secundary,Executive,Home,Stratum 3,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,72,95,4,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_INDUSTRIAL ENGINEERING
SB11201220410123,M,Complete Secundary,Complete Secundary,Retired,Retired,Stratum 4,It is not classified by the SISBEN,Six,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,65,94,3,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_CIVIL ENGINEERING
SB11201220410151,M,Complete professional education,Complete Secundary,Auxiliary or Administrative,Auxiliary or Administrative,Stratum 2,It is not classified by the SISBEN,Two,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,PRIVATE,ACADEMIC,62,100,4,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_INDUSTRIAL ENGINEERING
SB11201220410162,M,Incomplete Professional Education,Incomplete technical or technological,Other occupation,Home,Stratum 3,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PRIVATE,ACADEMIC,66,92,3,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_INDUSTRIAL ENGINEERING
SB11201220410183,M,Postgraduate education,Complete professional education,Operator,Operator,Stratum 4,It is not classified by the SISBEN,Four,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 3 and less than 5 LMMW,No,PRIVATE,ACADEMIC,74,97,4,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_CIVIL ENGINEERING
SB11201220410692,M,Complete technique or technology,Complete Secundary,Technical or professional level employee,Auxiliary or Administrative,Stratum 2,It is not classified by the SISBEN,Five,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,PUBLIC,TECHNICAL/ACADEMIC,66,75,4,2,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES_ELECTRONIC ENGINEERING
